start_date,agency_name,value
2010-06-03,Department of Infrastructure Transport Regional Development and Local Government,28400.9
2010-03-12,Department of Infrastructure Transport Regional Development and Local Government,37575.0
2010-05-25,Department of Infrastructure Transport Regional Development and Local Government,29700.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,193644.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,94875.0
2010-06-03,Department of Infrastructure Transport Regional Development and Local Government,15500.0
2010-05-17,Department of Infrastructure Transport Regional Development and Local Government,10397.45
2010-06-02,Department of Infrastructure Transport Regional Development and Local Government,36663.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,40700.0
2010-04-29,Department of Infrastructure Transport Regional Development and Local Government,13000.0
2010-05-17,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-05-26,Department of Infrastructure Transport Regional Development and Local Government,10155.33
2010-05-27,Department of Infrastructure Transport Regional Development and Local Government,10581.44
2010-05-26,Department of Infrastructure Transport Regional Development and Local Government,11282.84
2010-05-20,Department of Infrastructure Transport Regional Development and Local Government,11674.8
2010-05-09,Department of Infrastructure Transport Regional Development and Local Government,12541.93
2010-05-09,Department of Infrastructure Transport Regional Development and Local Government,12541.93
2010-06-15,Department of Infrastructure Transport Regional Development and Local Government,29150.0
2010-06-07,Department of Infrastructure Transport Regional Development and Local Government,33000.0
2010-06-07,Department of Infrastructure Transport Regional Development and Local Government,27000.0
2010-06-03,Department of Infrastructure Transport Regional Development and Local Government,190865.0
2010-06-04,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-06-04,Department of Infrastructure Transport Regional Development and Local Government,33000.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,13200.0
2010-05-05,Department of Infrastructure Transport Regional Development and Local Government,32800.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-06-07,Department of Infrastructure Transport Regional Development and Local Government,36600.0
2010-06-11,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,203500.0
2010-03-25,Department of Infrastructure Transport Regional Development and Local Government,11549.14
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,61341.5
2010-06-11,Department of Infrastructure Transport Regional Development and Local Government,39064.3
2010-06-08,Department of Infrastructure Transport Regional Development and Local Government,63904.5
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,16500.0
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,13750.0
2010-05-21,Department of Infrastructure Transport Regional Development and Local Government,72000.0
2010-05-10,Department of Infrastructure Transport Regional Development and Local Government,750000.0
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,150000.0
2010-03-01,Department of Infrastructure Transport Regional Development and Local Government,29040.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-06-28,Department of Infrastructure Transport Regional Development and Local Government,11362.08
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,18150.0
2010-06-17,Department of Infrastructure Transport Regional Development and Local Government,245316.57
2010-03-25,Department of Infrastructure Transport Regional Development and Local Government,14652.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,16500.0
2010-06-11,Department of Infrastructure Transport Regional Development and Local Government,70000.0
2010-06-15,Department of Infrastructure Transport Regional Development and Local Government,27500.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,120000.0
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,130000.0
2010-06-19,Department of Infrastructure Transport Regional Development and Local Government,13952.4
2010-06-25,Department of Infrastructure Transport Regional Development and Local Government,143000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,140000.0
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,44000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-06-24,Department of Infrastructure Transport Regional Development and Local Government,105000.0
2010-06-25,Department of Infrastructure Transport Regional Development and Local Government,82034.0
2010-06-28,Department of Infrastructure Transport Regional Development and Local Government,795605.0
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,75000.0
2010-05-01,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-05-11,Department of Infrastructure Transport Regional Development and Local Government,12186.56
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,51600.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,184009.0
